Fecha;Hora;Total;hora;dia;Mes;año;Nombre de dia;
2014-01-01;00:00:00;2140.04;1;1;1;2014;4;
2014-01-01;00:30:00;2121.6;2;1;1;2014;4;
2014-01-01;01:00:00;2090.73;3;1;1;2014;4;
2014-01-01;01:30:00;2005.27;4;1;1;2014;4;
2014-01-01;02:00:00;1,980.4;5;1;1;2014;4;
2014-01-01;02:30:00;1,911.1;6;1;1;2014;4;
2014-01-01;03:00:00;1,863.9;7;1;1;2014;4;
2014-01-01;03:30:00;1,816.5;8;1;1;2014;4;
2014-01-01;04:00:00;1,774.5;9;1;1;2014;4;
2014-01-01;04:30:00;1,743.2;10;1;1;2014;4;
2014-01-01;05:00:00;1,711.7;11;1;1;2014;4;
2014-01-01;05:30:00;1,696.7;12;1;1;2014;4;
2014-01-01;06:00:00;1,654.3;13;1;1;2014;4;
2014-01-01;06:30:00;1,436.6;14;1;1;2014;4;
2014-01-01;07:00:00;1,436.1;15;1;1;2014;4;
2014-01-01;07:30:00;1,440.8;16;1;1;2014;4;
2014-01-01;08:00:00;1,456.9;17;1;1;2014;4;
2014-01-01;08:30:00;1,501.7;18;1;1;2014;4;
2014-01-01;09:00:00;1,537.3;19;1;1;2014;4;
2014-01-01;09:30:00;1,610.1;20;1;1;2014;4;
2014-01-01;10:00:00;1,623.4;21;1;1;2014;4;
2014-01-01;10:30:00;1,676.2;22;1;1;2014;4;
2014-01-01;11:00:00;1,706.5;23;1;1;2014;4;
2014-01-01;11:30:00;1,757.6;24;1;1;2014;4;
2014-01-01;12:00:00;1,773.3;25;1;1;2014;4;
2014-01-01;12:30:00;1,796.5;26;1;1;2014;4;
2014-01-01;13:00:00;1,802.8;27;1;1;2014;4;
2014-01-01;13:30:00;1,810.7;28;1;1;2014;4;
2014-01-01;14:00:00;1,813.8;29;1;1;2014;4;
2014-01-01;14:30:00;1,817.1;30;1;1;2014;4;
2014-01-01;15:00:00;1,817.2;31;1;1;2014;4;
2014-01-01;15:30:00;1,769.7;32;1;1;2014;4;
2014-01-01;16:00:00;1,776.0;33;1;1;2014;4;
2014-01-01;16:30:00;1,808.5;34;1;1;2014;4;
2014-01-01;17:00:00;1,811.3;35;1;1;2014;4;
2014-01-01;17:30:00;1,842.3;36;1;1;2014;4;
2014-01-01;18:00:00;1,911.1;37;1;1;2014;4;
2014-01-01;18:30:00;2,156.4;38;1;1;2014;4;
2014-01-01;19:00:00;2,467.2;39;1;1;2014;4;
2014-01-01;19:30:00;2,536.6;40;1;1;2014;4;
2014-01-01;20:00:00;2,536.2;41;1;1;2014;4;
2014-01-01;20:30:00;2,515.1;42;1;1;2014;4;
2014-01-01;21:00:00;2,452.0;43;1;1;2014;4;
2014-01-01;21:30:00;2,332.1;44;1;1;2014;4;
2014-01-01;22:00:00;2,241.7;45;1;1;2014;4;
2014-01-01;22:30:00;2,118.3;46;1;1;2014;4;
2014-01-01;23:00:00;2,010.9;47;1;1;2014;4;
2014-01-01;23:30:00;1,910.4;48;1;1;2014;4;
2014-01-02;00:00:00;1,882.2;1;2;1;2014;5;
2014-01-02;00:30:00;1,750.5;2;2;1;2014;5;
2014-01-02;01:00:00;1,697.4;3;2;1;2014;5;
2014-01-02;01:30:00;1,657.0;4;2;1;2014;5;
2014-01-02;02:00:00;1,641.9;5;2;1;2014;5;
2014-01-02;02:30:00;1,608.0;6;2;1;2014;5;
2014-01-02;03:00:00;1,599.1;7;2;1;2014;5;
2014-01-02;03:30:00;1,589.5;8;2;1;2014;5;
2014-01-02;04:00:00;1,586.8;9;2;1;2014;5;
2014-01-02;04:30:00;1,595.6;10;2;1;2014;5;
2014-01-02;05:00:00;1,613.7;11;2;1;2014;5;
2014-01-02;05:30:00;1,684.0;12;2;1;2014;5;
2014-01-02;06:00:00;1,780.9;13;2;1;2014;5;
2014-01-02;06:30:00;1,766.3;14;2;1;2014;5;
2014-01-02;07:00:00;1,719.6;15;2;1;2014;5;
2014-01-02;07:30:00;1,830.2;16;2;1;2014;5;
2014-01-02;08:00:00;1,919.7;17;2;1;2014;5;
2014-01-02;08:30:00;2,111.5;18;2;1;2014;5;
2014-01-02;09:00:00;2,261.1;19;2;1;2014;5;
2014-01-02;09:30:00;2,343.7;20;2;1;2014;5;
2014-01-02;10:00:00;2,380.5;21;2;1;2014;5;
2014-01-02;10:30:00;2,474.0;22;2;1;2014;5;
2014-01-02;11:00:00;2,524.0;23;2;1;2014;5;
2014-01-02;11:30:00;2,578.8;24;2;1;2014;5;
2014-01-02;12:00:00;2,595.9;25;2;1;2014;5;
2014-01-02;12:30:00;2,558.7;26;2;1;2014;5;
2014-01-02;13:00:00;2,601.2;27;2;1;2014;5;
2014-01-02;13:30:00;2,646.6;28;2;1;2014;5;
2014-01-02;14:00:00;2,660.3;29;2;1;2014;5;
2014-01-02;14:30:00;2,721.4;30;2;1;2014;5;
2014-01-02;15:00:00;2,745.8;31;2;1;2014;5;
2014-01-02;15:30:00;2,684.9;32;2;1;2014;5;
2014-01-02;16:00:00;2,718.1;33;2;1;2014;5;
2014-01-02;16:30:00;2,689.9;34;2;1;2014;5;
2014-01-02;17:00:00;2,679.0;35;2;1;2014;5;
2014-01-02;17:30:00;2,622.2;36;2;1;2014;5;
2014-01-02;18:00:00;2,633.6;37;2;1;2014;5;
2014-01-02;18:30:00;2,881.1;38;2;1;2014;5;
2014-01-02;19:00:00;3,077.4;39;2;1;2014;5;
2014-01-02;19:30:00;3,138.3;40;2;1;2014;5;
2014-01-02;20:00:00;3,098.3;41;2;1;2014;5;
2014-01-02;20:30:00;3,083.6;42;2;1;2014;5;
2014-01-02;21:00:00;2,945.8;43;2;1;2014;5;
2014-01-02;21:30:00;2,770.6;44;2;1;2014;5;
2014-01-02;22:00:00;2,696.5;45;2;1;2014;5;
2014-01-02;22:30:00;2,572.9;46;2;1;2014;5;
2014-01-02;23:00:00;2,466.0;47;2;1;2014;5;
2014-01-02;23:30:00;2,300.2;48;2;1;2014;5;
2014-01-03;00:00:00;2,183.3;1;3;1;2014;6;
2014-01-03;00:30:00;2,016.4;2;3;1;2014;6;
2014-01-03;01:00:00;2,028.3;3;3;1;2014;6;
2014-01-03;01:30:00;1,976.5;4;3;1;2014;6;
2014-01-03;02:00:00;1,923.5;5;3;1;2014;6;
2014-01-03;02:30:00;1,924.7;6;3;1;2014;6;
2014-01-03;03:00:00;1,890.1;7;3;1;2014;6;
