Fecha;Hora;Total
1/1/2014;00:00:00;2140,00
1/1/2014;01:00:00;2090,70
1/1/2014;02:00:00;1980,40
1/1/2014;03:00:00;1863,90
1/1/2014;04:00:00;1774,50
1/1/2014;05:00:00;1711,70
1/1/2014;06:00:00;1654,30
1/1/2014;07:00:00;1436,10
1/1/2014;08:00:00;1456,90
1/1/2014;09:00:00;1537,30
1/1/2014;10:00:00;1623,40
1/1/2014;11:00:00;1706,50
1/1/2014;12:00:00;1773,30
1/1/2014;13:00:00;1802,80
1/1/2014;14:00:00;1813,80
1/1/2014;15:00:00;1817,20
1/1/2014;16:00:00;1776,00
1/1/2014;17:00:00;1811,30
1/1/2014;18:00:00;1911,10
1/1/2014;19:00:00;2467,20
1/1/2014;20:00:00;2536,20
1/1/2014;21:00:00;2452,00
1/1/2014;22:00:00;2241,70
1/1/2014;23:00:00;2010,90
2/1/2014;00:00:00;1882,20
2/1/2014;01:00:00;1697,40
2/1/2014;02:00:00;1641,90
2/1/2014;03:00:00;1599,10
2/1/2014;04:00:00;1586,80
2/1/2014;05:00:00;1613,70
2/1/2014;06:00:00;1780,90
2/1/2014;07:00:00;1719,60
2/1/2014;08:00:00;1919,70
2/1/2014;09:00:00;2261,10
2/1/2014;10:00:00;2380,50
2/1/2014;11:00:00;2524,00
2/1/2014;12:00:00;2595,90
2/1/2014;13:00:00;2601,20
2/1/2014;14:00:00;2660,30
2/1/2014;15:00:00;2745,80
2/1/2014;16:00:00;2718,10
2/1/2014;17:00:00;2679,00
2/1/2014;18:00:00;2633,60
2/1/2014;19:00:00;3077,40
2/1/2014;20:00:00;3098,30
2/1/2014;21:00:00;2945,80
2/1/2014;22:00:00;2696,50
2/1/2014;23:00:00;2466,00
3/1/2014;00:00:00;2183,30
3/1/2014;01:00:00;2028,30
3/1/2014;02:00:00;1923,50
3/1/2014;03:00:00;1890,10
3/1/2014;04:00:00;1865,10
3/1/2014;05:00:00;1887,90
3/1/2014;06:00:00;1988,40
3/1/2014;07:00:00;1924,80
3/1/2014;08:00:00;2149,00
3/1/2014;09:00:00;2370,30
3/1/2014;10:00:00;2547,60
3/1/2014;11:00:00;2617,50
3/1/2014;12:00:00;2622,10
3/1/2014;13:00:00;2619,00
3/1/2014;14:00:00;2629,80
3/1/2014;15:00:00;2720,50
3/1/2014;16:00:00;2724,70
3/1/2014;17:00:00;2647,40
3/1/2014;18:00:00;2622,70
3/1/2014;19:00:00;3063,10
