Fecha;Hora;Potencia
1/1/2014;00:00:00;2140,04
1/1/2014;01:00:00;2090,73
1/1/2014;02:00:00;1980,43
1/1/2014;03:00:00;1863,9
1/1/2014;04:00:00;1774,5
1/1/2014;05:00:00;1711,7
1/1/2014;06:00:00;1654,28
1/1/2014;07:00:00;1436,05
1/1/2014;08:00:00;1456,91
1/1/2014;09:00:00;1537,27
1/1/2014;10:00:00;1623,44
1/1/2014;11:00:00;1706,46
1/1/2014;12:00:00;1773,27
1/1/2014;13:00:00;1802,82
1/1/2014;14:00:00;1813,79
1/1/2014;15:00:00;1817,24
1/1/2014;16:00:00;1775,99
1/1/2014;17:00:00;1811,34
1/1/2014;18:00:00;1911,08
1/1/2014;19:00:00;2467,23
1/1/2014;20:00:00;2536,23
1/1/2014;21:00:00;2452,03
1/1/2014;22:00:00;2241,66
1/1/2014;23:00:00;2010,87
2/1/2014;00:00:00;1882,19
2/1/2014;01:00:00;1697,43
2/1/2014;02:00:00;1641,86
2/1/2014;03:00:00;1599,07
2/1/2014;04:00:00;1586,82
2/1/2014;05:00:00;1613,73
2/1/2014;06:00:00;1780,88
2/1/2014;07:00:00;1719,55
2/1/2014;08:00:00;1919,71
2/1/2014;09:00:00;2261,13
2/1/2014;10:00:00;2380,5
2/1/2014;11:00:00;2524,04
2/1/2014;12:00:00;2595,86
2/1/2014;13:00:00;2601,2
2/1/2014;14:00:00;2660,29
2/1/2014;15:00:00;2745,75
2/1/2014;16:00:00;2718,1
2/1/2014;17:00:00;2678,99
2/1/2014;18:00:00;2633,64
2/1/2014;19:00:00;3077,37
2/1/2014;20:00:00;3098,32
2/1/2014;21:00:00;2945,84
2/1/2014;22:00:00;2696,54
2/1/2014;23:00:00;2465,98
3/1/2014;00:00:00;2183,25
3/1/2014;01:00:00;2028,31
3/1/2014;02:00:00;1923,47
3/1/2014;03:00:00;1890,12
3/1/2014;04:00:00;1865,08
3/1/2014;05:00:00;1887,9
3/1/2014;06:00:00;1988,44
3/1/2014;07:00:00;1924,84
3/1/2014;08:00:00;2149,02
3/1/2014;09:00:00;2370,28
3/1/2014;10:00:00;2547,6
3/1/2014;11:00:00;2617,46
3/1/2014;12:00:00;2622,14
3/1/2014;13:00:00;2619,01
3/1/2014;14:00:00;2629,79
3/1/2014;15:00:00;2720,47
3/1/2014;16:00:00;2724,67
3/1/2014;17:00:00;2647,36
3/1/2014;18:00:00;2622,72
3/1/2014;19:00:00;3063,11
3/1/2014;20:00:00;3064,51
3/1/2014;21:00:00;2985,71
3/1/2014;22:00:00;2906,57
3/1/2014;23:00:00;2670,09
4/1/2014;00:00:00;2318,41
