hora;potencia
0:00:00;59690
0:30:00;59700
1:00:00;57550
1:30:00;57930
2:00:00;56950
0:00:00;59410
0:30:00;58560
1:00:00;55980
1:30:00;56040
2:00:00;54730
0:00:00;61540
0:30:00;60710
1:00:00;58860
1:30:00;58870
2:00:00;56550
0:00:00;60500
0:30:00;60230
1:00:00;57810
1:30:00;59120
2:00:00;57130
0:00:00;66440
0:30:00;66090
1:00:00;63630
1:30:00;63370
2:00:00;62600
0:00:00;66940
0:30:00;65660
1:00:00;63640
1:30:00;63620
2:00:00;61950
0:00:00;68400
0:30:00;67940
1:00:00;64300
1:30:00;65340
2:00:00;64060
0:00:00;70780
0:30:00;69730
1:00:00;66450
1:30:00;67820
2:00:00;66090
0:00:00;68410
0:30:00;68650
1:00:00;66080
1:30:00;66330
2:00:00;64770
0:00:00;65350
0:30:00;64680
1:00:00;62290
1:30:00;62410
2:00:00;60600
0:00:00;65620
0:30:00;64910
1:00:00;63210
1:30:00;64270
2:00:00;62770
0:00:00;70060
0:30:00;69580
1:00:00;65710
1:30:00;66140
2:00:00;65830
0:00:00;72830
0:30:00;70530
1:00:00;69410
1:30:00;68670
2:00:00;66910
0:00:00;73660
0:30:00;72610
1:00:00;70860
1:30:00;70270
2:00:00;70280
0:00:00;76010
0:30:00;76500
1:00:00;73260
1:30:00;74640
2:00:00;72410
0:00:00;75570
0:30:00;75990
1:00:00;72590
1:30:00;73460
2:00:00;70380
0:00:00;71540
0:30:00;71240
1:00:00;69550
1:30:00;70130
2:00:00;67870
0:00:00;73350
0:30:00;72970
1:00:00;70840
1:30:00;71950
2:00:00;70780
0:00:00;79390
0:30:00;79590
1:00:00;77410
1:30:00;78080
2:00:00;76840
0:00:00;81650
0:30:00;81550
1:00:00;79380
1:30:00;79910
2:00:00;78640
0:00:00;81360
0:30:00;79620
1:00:00;78730
1:30:00;79060
2:00:00;78110
0:00:00;78610
0:30:00;78490
1:00:00;77200
1:30:00;78680
2:00:00;77410
0:00:00;75770
0:30:00;74250
1:00:00;72530
1:30:00;72090
2:00:00;69950
0:00:00;70350
0:30:00;69130
1:00:00;67330
1:30:00;67710
2:00:00;66140
0:00:00;64860
0:30:00;64780
1:00:00;62980
1:30:00;63880
2:00:00;61560
0:00:00;66020
0:30:00;66010
1:00:00;62710
1:30:00;63330
2:00:00;61300
0:00:00;67990
0:30:00;66730
1:00:00;63900
1:30:00;64970
2:00:00;63030
0:00:00;66270
0:30:00;66030
1:00:00;62270
1:30:00;63920
2:00:00;61840
0:00:00;70350
0:30:00;70870
1:00:00;68200
1:30:00;69080
2:00:00;67280
0:00:00;68780
0:30:00;67950
1:00:00;65680
1:30:00;66620
2:00:00;63820
0:00:00;67860
0:30:00;66750
1:00:00;64450
1:30:00;64930
2:00:00;62610
0:00:00;63460
0:30:00;63470
1:00:00;61890
1:30:00;62200
2:00:00;60160
0:00:00;66540
0:30:00;66570
1:00:00;63480
1:30:00;63290
2:00:00;62210
0:00:00;69890
0:30:00;69290
1:00:00;66050
1:30:00;66100
2:00:00;63960
0:00:00;72720
0:30:00;71040
1:00:00;69310
1:30:00;70410
2:00:00;67730
0:00:00;68070
0:30:00;67940
1:00:00;65270
1:30:00;65020
2:00:00;63230
0:00:00;66460
0:30:00;65520
1:00:00;62760
1:30:00;62850
2:00:00;61380
0:00:00;63220
0:30:00;62900
1:00:00;60870
1:30:00;61080
2:00:00;59030
0:00:00;65630
0:30:00;64770
1:00:00;62870
1:30:00;62740
2:00:00;61180
0:00:00;69410
0:30:00;69090
1:00:00;66480
1:30:00;66910
2:00:00;65240
0:00:00;72700
0:30:00;71740
1:00:00;69530
1:30:00;69990
2:00:00;67920
0:00:00;71810
0:30:00;70580
1:00:00;68840
1:30:00;69020
2:00:00;67420
0:00:00;72850
0:30:00;71770
1:00:00;69050
1:30:00;70470
2:00:00;68840
0:00:00;71990
0:30:00;70910
1:00:00;69330
1:30:00;69210
2:00:00;66910
0:00:00;67450
0:30:00;66950
1:00:00;64630
1:30:00;64660
2:00:00;63140
0:00:00;68150
0:30:00;67510
1:00:00;66640
1:30:00;66830
2:00:00;64270
0:00:00;73910
0:30:00;73220
1:00:00;70690
1:30:00;71050
2:00:00;70030
0:00:00;75710
0:30:00;75490
1:00:00;73020
1:30:00;74430
2:00:00;73140
0:00:00;75700
0:30:00;76020
1:00:00;73490
1:30:00;75420
2:00:00;73170
0:00:00;75410
0:30:00;74830
1:00:00;73470
1:30:00;74880
2:00:00;72450
0:00:00;72770
0:30:00;71710
1:00:00;68500
1:30:00;69920
2:00:00;68980
0:00:00;66090
0:30:00;64870
1:00:00;62700
1:30:00;63550
2:00:00;62140
0:00:00;63580
0:30:00;63500
1:00:00;60980
1:30:00;61260
2:00:00;60250
0:00:00;68300
0:30:00;66900
1:00:00;64640
1:30:00;65090
2:00:00;63770
0:00:00;70610
0:30:00;69930
1:00:00;68050
1:30:00;68670
2:00:00;67260
0:00:00;71220
0:30:00;71290
1:00:00;68540
1:30:00;69510
2:00:00;68180
0:00:00;72130
0:30:00;70910
1:00:00;69170
1:30:00;69750
2:00:00;68110
0:00:00;70940
0:30:00;70970
1:00:00;68650
1:30:00;68230
2:00:00;67480
0:00:00;69860
0:30:00;69440
1:00:00;67510
1:30:00;68980
2:00:00;66560
0:00:00;70010
0:30:00;69850
1:00:00;68280
1:30:00;69020
2:00:00;67560
0:00:00;72690
0:30:00;70400
1:00:00;70310
1:30:00;70520
2:00:00;69170
0:00:00;70900
0:30:00;69460
1:00:00;67610
1:30:00;68500
2:00:00;66860
0:00:00;73480
0:30:00;72490
1:00:00;70300
1:30:00;71290
2:00:00;68940
0:00:00;71610
0:30:00;70640
1:00:00;68760
1:30:00;69570
2:00:00;66830
0:00:00;69830
0:30:00;69060
1:00:00;67440
1:30:00;67950
2:00:00;65800
0:00:00;66810
0:30:00;66990
1:00:00;64450
1:30:00;65490
2:00:00;63430
0:00:00;66590
0:30:00;66540
1:00:00;65230
1:30:00;65400
2:00:00;63680
0:00:00;72110
0:30:00;70980
1:00:00;68880
1:30:00;68970
2:00:00;68010
0:00:00;69450
0:30:00;69160
1:00:00;67120
1:30:00;67860
2:00:00;67300
0:00:00;69840
0:30:00;69570
1:00:00;67870
1:30:00;68550
2:00:00;67130
0:00:00;70020
0:30:00;69060
1:00:00;66910
1:30:00;66550
2:00:00;66530
0:00:00;69080
0:30:00;68100
1:00:00;65870
1:30:00;66660
2:00:00;63770
0:00:00;64610
0:30:00;63790
1:00:00;62290
1:30:00;62520
2:00:00;61360
0:00:00;64340
0:30:00;64670
1:00:00;62340
1:30:00;63540
2:00:00;61230
0:00:00;68590
0:30:00;67630
1:00:00;65350
1:30:00;66230
2:00:00;64130
0:00:00;66360
0:30:00;65480
1:00:00;63400
1:30:00;63580
2:00:00;62280
0:00:00;69090
0:30:00;69130
1:00:00;67710
1:30:00;67770
2:00:00;66260
0:00:00;67110
0:30:00;67930
1:00:00;65570
1:30:00;66100
2:00:00;64580
0:00:00;66950
0:30:00;66230
1:00:00;63690
1:30:00;64360
2:00:00;62460
0:00:00;64340
0:30:00;64490
1:00:00;61830
1:30:00;62910
2:00:00;60940
0:00:00;63460
0:30:00;63160
1:00:00;60930
1:30:00;62180
2:00:00;60280
0:00:00;66170
0:30:00;64550
1:00:00;62520
1:30:00;63930
2:00:00;61200
0:00:00;64030
0:30:00;63010
1:00:00;60710
1:30:00;62240
2:00:00;60080
0:00:00;65800
0:30:00;63970
1:00:00;60690
1:30:00;62160
2:00:00;60590
0:00:00;65520
0:30:00;65070
1:00:00;62490
1:30:00;63960
2:00:00;62630
0:00:00;64850
